country,continent,region,income_group,year,records,avg_screen_time_hours,avg_social_media_hours,avg_sleep_hours,avg_addiction_score,avg_anxiety_score,avg_depression_score,avg_mental_health_risk,avg_digital_wellbeing,cyberbullying_victim_rate,problematic_use_rate,high_mental_health_risk_rate
Afghanistan,Asia,South Asia,Low,2015,127,3.0054,1.5846,8.1463,39.4808,36.3548,26.172,32.9864,91.1589,0.1496,0.0079,0.0
Afghanistan,Asia,South Asia,Low,2016,82,3.4961,1.9295,8.0316,41.5507,35.623,26.4176,33.3632,90.2432,0.0854,0.0,0.0
Afghanistan,Asia,South Asia,Low,2017,88,3.3809,1.7953,8.0316,42.5672,37.4435,28.2707,34.8349,89.4139,0.1477,0.0114,0.0
Afghanistan,Asia,South Asia,Low,2018,100,3.4074,1.8393,7.95,42.6121,37.6518,28.3144,35.0493,88.7327,0.17,0.01,0.0
Afghanistan,Asia,South Asia,Low,2019,117,3.7011,1.9749,7.9388,42.0834,37.6685,27.1206,34.8692,89.1547,0.1368,0.0085,0.0
Afghanistan,Asia,South Asia,Low,2020,93,3.8098,1.9501,8.0316,43.5491,38.566,27.1238,34.5255,89.1941,0.1183,0.043,0.0
Afghanistan,Asia,South Asia,Low,2021,104,3.7599,2.0695,7.7029,44.9074,38.0986,28.6995,35.7505,87.4521,0.125,0.0192,0.0
Afghanistan,Asia,South Asia,Low,2022,106,4.0103,2.0606,7.8886,44.2195,38.6246,29.6741,36.2571,88.2998,0.1226,0.0189,0.0
Afghanistan,Asia,South Asia,Low,2023,114,3.7696,2.0502,7.8544,44.8631,39.9892,29.346,36.1238,88.2589,0.0789,0.0175,0.0
Afghanistan,Asia,South Asia,Low,2024,116,4.0451,2.1309,7.7295,45.8157,39.7103,29.6369,36.5952,86.9497,0.1379,0.0345,0.0
Afghanistan,Asia,South Asia,Low,2025,109,3.9188,2.1085,7.7688,43.4495,39.725,29.3026,36.155,88.5361,0.1101,0.0092,0.0
Afghanistan,Asia,South Asia,Low,2026,110,4.2007,2.2417,7.7394,46.0709,39.8835,30.4734,36.5908,86.9443,0.1182,0.0091,0.0
Afghanistan,Asia,South Asia,Low,2027,81,4.3336,2.2862,7.6443,47.3098,39.4281,29.7395,36.5963,86.4972,0.1481,0.037,0.0
Afghanistan,Asia,South Asia,Low,2028,105,4.6,2.4398,7.5424,48.3343,40.397,32.4597,38.0068,85.299,0.1429,0.0381,0.0
Afghanistan,Asia,South Asia,Low,2029,115,4.6625,2.4343,7.6861,48.7104,40.9817,32.9976,38.7082,85.1576,0.113,0.0174,0.0
Afghanistan,Asia,South Asia,Low,2030,106,4.6343,2.4953,7.6134,47.8151,41.4775,32.6984,38.0623,85.3825,0.1321,0.0283,0.0
Afghanistan,Asia,South Asia,Low,2031,105,4.6409,2.4483,7.573,50.3629,43.1046,32.8229,39.6343,83.4739,0.1143,0.0286,0.0
Afghanistan,Asia,South Asia,Low,2032,107,4.7562,2.6586,7.5685,50.1173,43.3649,32.0715,39.1797,83.376,0.2056,0.0561,0.0
Afghanistan,Asia,South Asia,Low,2033,130,4.9345,2.6289,7.5732,48.9806,40.7102,32.4582,38.0722,84.8359,0.1385,0.0385,0.0
Afghanistan,Asia,South Asia,Low,2034,97,5.1043,2.6638,7.6715,49.6919,42.3898,31.1341,38.6712,84.31,0.1649,0.0619,0.0
Afghanistan,Asia,South Asia,Low,2035,94,4.8413,2.6182,7.499,50.0603,39.9424,32.5795,38.0959,84.0149,0.1702,0.0745,0.0
Afghanistan,Asia,South Asia,Low,2036,95,5.2094,2.6442,7.5797,50.2491,42.4743,31.5083,38.9484,83.8474,0.1684,0.0316,0.0
Afghanistan,Asia,South Asia,Low,2037,95,5.3188,2.8032,7.4356,51.946,42.1698,31.9745,39.4458,82.6385,0.1789,0.0526,0.0
Afghanistan,Asia,South Asia,Low,2038,110,5.2705,2.8352,7.5548,52.8453,42.6569,32.5085,40.5034,81.661,0.2364,0.1273,0.0
Afghanistan,Asia,South Asia,Low,2039,109,5.4293,2.8583,7.4124,52.9128,43.4964,34.6696,40.8795,81.7528,0.1193,0.0734,0.0
Afghanistan,Asia,South Asia,Low,2040,98,5.3046,2.8602,7.6026,54.2218,43.8255,33.9588,41.2232,81.2466,0.1735,0.0918,0.0
Afghanistan,Asia,South Asia,Low,2041,81,5.4632,2.8081,7.5175,52.3825,44.0751,34.06,41.1957,82.3943,0.0988,0.0617,0.0
Afghanistan,Asia,South Asia,Low,2042,97,5.6794,3.0821,7.3494,54.4627,42.9168,33.3735,40.8096,81.2161,0.1753,0.0928,0.0
Afghanistan,Asia,South Asia,Low,2043,98,5.9851,3.1053,7.4307,56.1076,44.4819,33.1664,41.2481,79.4441,0.2245,0.102,0.0
Afghanistan,Asia,South Asia,Low,2044,117,6.0102,3.1072,7.3115,56.397,45.0025,34.3933,41.6662,78.6298,0.2479,0.1111,0.0
Afghanistan,Asia,South Asia,Low,2045,115,6.055,3.1737,7.2897,56.745,43.9289,38.2652,43.0068,78.5768,0.2087,0.1304,0.0
Afghanistan,Asia,South Asia,Low,2046,102,6.2049,3.4187,7.2036,58.2964,45.4064,37.1639,43.3462,77.9408,0.2255,0.1569,0.0
Afghanistan,Asia,South Asia,Low,2047,118,6.324,3.4181,7.297,58.654,45.6809,35.7633,42.9284,78.1928,0.2034,0.1864,0.0
Afghanistan,Asia,South Asia,Low,2048,100,6.3656,3.3691,7.2518,58.9847,46.5345,37.711,44.1426,77.2464,0.2,0.2,0.0
